City_ID,City,Lat,Lng,Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country
0,Obo,5.3998,26.4869,overcast clouds,71.67,27,100,3.76,CF
1,Yellowknife,62.456,-114.3525,scattered clouds,-24.45,80,34,4.0,CA
2,Lodja,-3.4833,23.4333,overcast clouds,68.43,99,100,1.3,CD
3,Albany,42.6001,-73.9662,overcast clouds,41.47,77,100,3.38,US
4,Savannah Bight,16.45,-85.85,clear sky,79.0,82,0,28.3,HN
5,Atuona,-9.8,-139.0333,light rain,78.24,77,100,14.65,PF
6,Tomatlan,19.9333,-105.25,clear sky,67.73,71,0,4.25,MX
7,Busselton,-33.65,115.3333,broken clouds,76.05,36,53,16.06,AU
8,Constitucion,-35.3333,-72.4167,broken clouds,58.12,87,69,5.48,CL
9,Port Elizabeth,-33.918,25.5701,overcast clouds,71.1,91,99,10.69,ZA
10,San Jose,37.3394,-121.895,few clouds,62.42,27,20,1.99,US
11,Tiksi,71.6872,128.8694,overcast clouds,-3.91,94,100,9.55,RU
12,Severobaykalsk,55.65,109.3167,overcast clouds,-11.52,93,89,4.18,RU
13,Tasiilaq,65.6145,-37.6368,overcast clouds,10.56,80,95,5.39,GL
14,Luderitz,-26.6481,15.1594,broken clouds,67.66,79,66,2.98,NA
15,Hauterive,46.0901,3.4459,scattered clouds,43.56,95,36,3.49,FR
16,Vila Franca Do Campo,37.7167,-25.4333,scattered clouds,59.2,81,35,8.84,PT
17,Kruisfontein,-34.0033,24.7314,overcast clouds,68.88,89,100,10.6,ZA
18,Padang,-0.9492,100.3543,broken clouds,79.83,80,70,3.44,ID
19,Kapaa,22.0752,-159.319,clear sky,81.48,66,9,1.99,US
20,Upernavik,72.7868,-56.1549,overcast clouds,-8.97,67,100,8.77,GL
21,Ushuaia,-54.8,-68.3,broken clouds,42.46,61,75,23.02,AR
22,Thompson,55.7435,-97.8558,scattered clouds,-10.14,82,46,12.03,CA
23,Tomari,47.7658,142.0683,overcast clouds,17.33,77,100,18.1,RU
24,Arraial Do Cabo,-22.9661,-42.0278,overcast clouds,75.25,88,100,4.25,BR
25,Rikitea,-23.1203,-134.9692,light rain,78.6,73,84,7.74,PF
26,Narsaq,60.9167,-46.05,overcast clouds,3.42,61,100,12.15,GL
27,Ribeira Grande,38.5167,-28.7,few clouds,59.43,71,16,7.23,PT
28,Barrow,71.2906,-156.7887,clear sky,-20.18,63,0,4.61,US
29,Dong Hoi,17.4833,106.6,overcast clouds,65.14,89,100,9.62,VN
30,Necochea,-38.5473,-58.7368,moderate rain,72.03,75,100,13.38,AR
31,Mataura,-46.1927,168.8643,overcast clouds,58.48,91,100,3.62,NZ
32,Provideniya,64.3833,-173.3,broken clouds,8.71,78,75,31.32,RU
33,Lorengau,-2.0226,147.2712,heavy intensity rain,77.83,87,100,9.64,PG
34,Hirara,24.8,125.2833,broken clouds,68.27,88,75,9.22,JP
35,Prince Rupert,54.3161,-130.3201,light rain,41.09,93,100,4.61,CA
36,Dikson,73.5069,80.5464,overcast clouds,-6.81,97,100,12.28,RU
37,Fortuna,40.5982,-124.1573,few clouds,53.47,84,20,1.01,US
38,Bambous Virieux,-20.3428,57.7575,moderate rain,78.22,89,100,31.14,MU
39,Mao,39.8885,4.2658,clear sky,46.96,93,0,8.05,ES
40,Nikolskoye,59.7035,30.7861,overcast clouds,17.49,99,95,1.63,RU
41,Yulara,-25.2406,130.9889,overcast clouds,71.44,43,100,17.27,AU
42,Cape Town,-33.9258,18.4232,clear sky,66.11,88,0,3.0,ZA
43,Matagami,49.7502,-77.6328,overcast clouds,-1.28,94,100,5.39,CA
44,Cravo Norte,6.3017,-70.2041,few clouds,83.46,45,12,6.46,CO
45,Casper,42.8666,-106.3131,clear sky,0.72,70,0,3.0,US
46,Sao Joao Batista,-27.2761,-48.8494,scattered clouds,78.78,93,44,1.88,BR
47,Carnarvon,-24.8667,113.6333,clear sky,87.93,48,6,5.06,AU
48,Uige,-7.6087,15.0613,overcast clouds,64.2,99,100,2.04,AO
49,Merta,26.65,74.0333,clear sky,57.51,51,0,8.63,IN
50,Mapimi,25.8167,-103.85,overcast clouds,79.57,27,100,18.92,MX
51,Komsomolskiy,40.4272,71.7189,overcast clouds,35.02,86,99,2.3,UZ
52,Umm Lajj,25.0213,37.2685,clear sky,69.03,46,0,9.24,SA
53,Touros,-5.1989,-35.4608,scattered clouds,81.5,76,47,11.92,BR
54,Lulea,65.5842,22.1547,overcast clouds,8.67,85,100,5.75,SE
55,Kavieng,-2.5744,150.7967,light rain,79.7,81,100,15.64,PG
56,Katsuura,35.1333,140.3,overcast clouds,48.18,47,100,5.73,JP
57,Hobart,-42.8794,147.3294,broken clouds,62.46,87,75,3.0,AU
58,Linfen,36.0889,111.5189,clear sky,31.26,47,5,5.26,CN
59,Talaya,61.3833,152.75,overcast clouds,-8.66,95,100,6.17,RU
60,Victoria,22.2855,114.1577,overcast clouds,55.33,89,100,5.99,HK
61,Yertsevo,60.7966,40.086,overcast clouds,4.91,99,100,2.75,RU
62,Palmerston,-12.486,130.9833,light rain,82.38,90,75,4.61,AU
63,San Quintin,30.4833,-115.95,clear sky,59.23,61,0,8.88,MX
64,Fergus Falls,46.283,-96.0776,clear sky,-8.14,64,0,6.91,US
65,Polunochnoye,60.8697,60.4153,overcast clouds,2.59,98,100,2.59,RU
66,Lebu,-37.6167,-73.65,broken clouds,60.15,88,81,10.4,CL
67,Hasaki,35.7333,140.8333,overcast clouds,41.29,42,100,8.97,JP
68,Jamestown,42.097,-79.2353,light rain,40.59,60,100,5.99,US
69,San Cristobal,7.7669,-72.225,few clouds,75.38,59,12,1.74,VE
70,Codrington,-38.2667,141.9667,overcast clouds,60.64,62,100,15.82,AU
71,Port Hardy,50.6996,-127.4199,light rain,38.41,97,100,12.39,CA
72,Saskylakh,71.9167,114.0833,few clouds,-31.61,100,17,2.82,RU
73,Derzhavinsk,51.1,66.3167,overcast clouds,12.69,90,100,5.39,KZ
74,Rocha,-34.4833,-54.3333,clear sky,68.29,89,0,9.55,UY
75,Hilo,19.7297,-155.09,broken clouds,78.53,73,75,8.05,US
76,Avarua,-21.2078,-159.775,broken clouds,84.25,79,75,18.41,CK
77,Hithadhoo,-0.6,73.0833,clear sky,81.37,70,6,2.71,MV
78,Sisimiut,66.9395,-53.6735,overcast clouds,1.36,75,100,20.02,GL
79,Qaanaaq,77.484,-69.3632,overcast clouds,-10.7,83,100,6.93,GL
80,Coquimbo,-29.9533,-71.3436,clear sky,63.5,82,6,5.48,CL
81,San Ramon De La Nueva Oran,-23.1322,-64.326,moderate rain,80.42,70,100,5.01,AR
82,Talnakh,69.4865,88.3972,overcast clouds,-9.08,99,99,6.62,RU
83,Mangai,-4.05,19.5333,overcast clouds,71.76,89,100,1.07,CD
84,Norman Wells,65.282,-126.8329,broken clouds,-24.47,99,71,5.28,CA
85,Santa Isabel Do Rio Negro,-0.4139,-65.0192,moderate rain,74.68,93,100,2.62,BR
86,Aykhal,66.0,111.5,clear sky,-21.35,100,6,2.89,RU
87,Lianzhou,24.7811,112.3825,overcast clouds,38.03,96,98,4.7,CN
88,Bredasdorp,-34.5322,20.0403,clear sky,67.53,78,0,6.91,ZA
89,Lamont,35.2597,-118.9143,clear sky,59.83,34,0,5.88,US
90,Leningradskiy,69.3833,178.4167,scattered clouds,-13.13,94,25,9.73,RU
91,San Patricio,28.017,-97.5169,overcast clouds,73.49,83,100,5.95,US
92,Bluff,-46.6,168.3333,overcast clouds,58.8,65,100,17.09,NZ
93,Palmer,42.1584,-72.3287,overcast clouds,40.73,80,100,0.0,US
94,North Bend,43.4065,-124.2243,overcast clouds,48.24,96,100,0.0,US
95,Faanui,-16.4833,-151.75,few clouds,81.21,75,14,20.09,PF
96,Eluru,16.7,81.1,scattered clouds,68.09,93,39,3.15,IN
97,Kiunga,-6.1219,141.2906,overcast clouds,86.27,55,98,1.97,PG
98,Butaritari,3.0707,172.7902,light rain,81.79,78,100,16.22,KI
99,Port-Cartier,50.0334,-66.8654,overcast clouds,27.75,93,100,10.33,CA
100,Praxedis Guerrero,31.3667,-106.0167,overcast clouds,51.26,53,100,7.74,MX
101,Lata,40.1629,-8.3327,broken clouds,46.06,77,83,1.81,PT
102,Punta Arenas,-53.15,-70.9167,overcast clouds,48.11,70,92,6.17,CL
103,Zarechnyy,53.2036,45.1923,overcast clouds,30.31,65,100,3.96,RU
104,Axim,4.8699,-2.2405,light rain,78.3,85,97,5.73,GH
105,Hovd,48.0056,91.6419,overcast clouds,-6.83,97,89,1.81,MN
106,Namwala,-15.7504,26.4384,light rain,64.36,99,54,3.42,ZM
107,Sitka,57.0531,-135.33,light rain,39.09,93,100,5.75,US
108,Moerai,-22.4333,-151.3333,overcast clouds,79.95,76,100,16.8,PF
109,Sao Filipe,14.8961,-24.4956,clear sky,73.69,75,0,12.21,CV
110,Sabang,5.8933,95.3214,clear sky,81.03,75,8,11.77,ID
111,Glinka,54.6404,32.8781,snow,22.8,96,100,6.46,RU
112,Abeche,13.8292,20.8324,few clouds,63.03,12,21,8.12,TD
113,Topolevo,48.4994,135.1975,clear sky,-4.88,76,0,7.0,RU
114,Lensk,60.7253,114.9278,overcast clouds,-19.5,100,86,4.43,RU
115,Asau,46.4333,26.4,overcast clouds,25.72,86,100,5.53,RO
116,Hermanus,-34.4187,19.2345,clear sky,65.89,86,0,10.85,ZA
117,Ayagoz,47.9714,80.4392,overcast clouds,-3.95,86,100,9.06,KZ
118,Saint-Philippe,-21.3585,55.7679,heavy intensity rain,80.19,95,100,34.02,RE
119,Kutum,14.2,24.6667,scattered clouds,62.51,21,36,10.65,SD
120,Puerto Ayora,-0.7393,-90.3518,clear sky,74.55,93,0,1.99,EC
121,Tuktoyaktuk,69.4541,-133.0374,overcast clouds,-18.51,98,99,9.71,CA
122,Ferkessedougou,9.6,-5.2,scattered clouds,70.63,8,38,3.62,CI
123,Mahebourg,-20.4081,57.7,moderate rain,78.26,88,100,31.88,MU
124,Caucaia,-3.7361,-38.6531,broken clouds,82.04,78,75,6.91,BR
125,Vila Velha,-20.3297,-40.2925,broken clouds,77.95,91,75,2.3,BR
126,Deniliquin,-35.5333,144.9667,clear sky,71.01,32,0,16.53,AU
127,The Valley,18.217,-63.0578,clear sky,78.1,75,1,15.64,AI
128,Port Alfred,-33.5906,26.891,overcast clouds,73.54,92,100,8.9,ZA
129,Plettenberg Bay,-34.0527,23.3716,overcast clouds,69.69,87,100,5.26,ZA
130,Boyuibe,-20.4167,-63.2833,scattered clouds,75.7,57,37,5.68,BO
131,New Norfolk,-42.7826,147.0587,overcast clouds,62.1,91,99,4.43,AU
132,Bilibino,68.0546,166.4372,clear sky,-3.57,66,0,4.99,RU
133,Mbandaka,0.0487,18.2603,overcast clouds,70.95,58,100,2.1,CD
134,Souillac,-20.5167,57.5167,light rain,78.37,89,100,29.62,MU
135,Kavaratti,10.5669,72.642,few clouds,79.72,71,14,10.45,IN
136,Vaini,-21.2,-175.2,clear sky,81.16,69,0,8.1,TO
137,Pringsewu,-5.3582,104.9744,overcast clouds,77.7,83,97,1.66,ID
138,Saldanha,-33.0117,17.9442,clear sky,64.45,90,0,8.08,ZA
139,Nailsea,51.4324,-2.7585,overcast clouds,48.72,88,100,1.99,GB
140,Coahuayana,18.7333,-103.6833,clear sky,78.28,74,0,2.84,MX
141,Yarmouth,41.7057,-70.2286,fog,43.97,96,100,3.44,US
142,Perevolotskiy,51.8763,54.1938,light snow,22.1,97,100,8.39,RU
143,Adrar,20.5022,-10.0711,clear sky,66.22,20,0,10.65,MR
144,Bac Lieu,9.285,105.7244,overcast clouds,80.01,76,93,16.13,VN
145,Saint Anthony,45.0205,-93.218,clear sky,3.24,60,0,7.0,US
146,Archidona,37.0965,-4.3887,overcast clouds,53.37,41,100,3.71,ES
147,East London,-33.0153,27.9116,light rain,73.87,94,100,8.77,ZA
148,Reitz,-27.8014,28.4273,clear sky,62.83,70,5,3.02,ZA
149,Mbalmayo,3.5167,11.5,scattered clouds,67.24,97,40,3.33,CM
150,Hambantota,6.1241,81.1185,few clouds,68.34,100,20,2.3,LK
151,Isiro,2.7739,27.616,overcast clouds,68.94,43,100,1.45,CD
152,Miri,4.4148,114.0089,few clouds,78.96,86,13,3.2,MY
153,Wonthaggi,-38.6044,145.5913,overcast clouds,66.2,65,100,17.36,AU
154,Bata,1.8639,9.7658,overcast clouds,79.45,81,100,8.77,GQ
155,Port Moresby,-9.4431,147.1797,overcast clouds,85.17,55,99,6.91,PG
156,Pafos,34.7667,32.4167,clear sky,53.38,76,0,8.05,CY
157,Bara,10.3744,10.7288,clear sky,64.06,16,0,7.54,NG
158,Yakeshi,49.2833,120.7333,overcast clouds,-22.68,100,98,3.62,CN
159,Jinka,5.65,36.65,overcast clouds,72.99,38,100,1.36,ET
160,Cidreira,-30.1811,-50.2056,clear sky,75.49,86,5,18.97,BR
161,Pacific Grove,36.6177,-121.9166,clear sky,62.71,31,0,1.01,US
162,Severo-Kurilsk,50.6789,156.125,overcast clouds,30.67,76,100,10.07,RU
163,Chokurdakh,70.6333,147.9167,overcast clouds,-20.83,98,100,6.96,RU
164,Mar Del Plata,-38.0023,-57.5575,moderate rain,71.13,74,100,9.73,AR
165,Kaitangata,-46.2817,169.8464,moderate rain,54.25,95,100,3.04,NZ
166,Tocopilla,-22.092,-70.1979,clear sky,70.41,71,2,11.74,CL
167,Kamaishi,39.2667,141.8833,scattered clouds,34.72,52,34,13.76,JP
168,Torbay,47.6666,-52.7314,few clouds,22.28,90,14,5.99,CA
169,Diffa,13.3154,12.6113,scattered clouds,61.29,16,36,9.98,NE
170,Antsohihy,-14.8796,47.9875,overcast clouds,73.71,96,100,1.59,MG
171,Pangnirtung,66.1451,-65.7125,overcast clouds,4.78,86,100,7.23,CA
172,Marigot,18.0667,-63.0833,clear sky,78.04,76,0,15.97,MF
173,Puerto Del Rosario,28.5004,-13.8627,overcast clouds,69.55,73,100,4.61,ES
174,Borovskoy,53.8,64.15,overcast clouds,16.38,96,95,7.92,KZ
175,Mugur-Aksy,50.35,90.5,scattered clouds,-9.94,85,29,5.53,RU
176,Bayan,46.0833,127.4,broken clouds,-0.33,94,84,6.71,CN
177,Ilulissat,69.2167,-51.1,mist,-0.38,46,100,25.32,GL
178,Rincon,32.296,-81.2354,light rain,63.05,93,100,4.61,US
179,Georgetown,5.4112,100.3354,few clouds,80.89,80,20,3.44,MY
180,Beringovskiy,63.05,179.3167,overcast clouds,8.71,74,100,22.75,RU
181,Broome,42.2506,-75.833,broken clouds,40.37,71,75,1.99,US
182,Presidencia Roque Saenz Pena,-26.7852,-60.4388,overcast clouds,89.6,25,85,6.15,AR
183,Nemuro,43.3236,145.575,clear sky,24.73,68,7,7.96,JP
184,Juybar,36.6412,52.9124,clear sky,47.64,53,0,4.54,IR
185,Dingle,10.9995,122.6711,broken clouds,80.74,78,70,13.09,PH
186,La Palma,33.8464,-118.0467,clear sky,65.28,18,0,5.01,US
187,Mahibadhoo,3.7833,72.9667,clear sky,81.45,72,4,10.29,MV
188,Zyryanka,65.75,150.85,overcast clouds,-17.63,97,100,6.29,RU
189,Evensk,61.95,159.2333,clear sky,18.57,47,7,18.39,RU
190,Cabo San Lucas,22.8909,-109.9124,broken clouds,72.7,67,75,9.22,MX
191,Longyearbyen,78.2186,15.6401,clear sky,15.64,67,0,24.16,SJ
192,Kirillov,59.863,38.3813,overcast clouds,11.71,97,100,3.44,RU
193,Narasannapeta,18.4167,84.05,few clouds,67.77,87,14,3.69,IN
194,Jhelum,32.9331,73.7264,overcast clouds,51.69,80,99,10.87,PK
195,Lethem,3.3803,-59.7968,few clouds,80.85,61,14,7.92,GY
196,Nome,64.5011,-165.4064,clear sky,11.1,53,0,33.38,US
197,Meulaboh,4.1363,96.1285,broken clouds,77.05,83,61,2.95,ID
198,Bengkulu,-3.8004,102.2655,broken clouds,78.35,80,75,3.91,ID
199,Butterworth,5.3991,100.3638,few clouds,81.0,80,20,3.44,MY
200,Keti Bandar,24.1447,67.4497,clear sky,68.67,45,1,17.9,PK
201,Hoquiam,46.9809,-123.8893,light rain,46.38,92,100,11.5,US
202,Kwekwe,-18.9281,29.8149,light rain,66.72,94,96,1.36,ZW
203,Poronaysk,49.2167,143.1167,overcast clouds,9.23,75,85,8.79,RU
204,Cockburn Town,21.4612,-71.1419,broken clouds,73.36,78,75,13.8,TC
205,Datong,40.0936,113.2914,few clouds,15.04,44,16,3.36,CN
206,Ust-Nera,64.5667,143.2,overcast clouds,-12.57,99,100,2.68,RU
207,Esperance,-33.8667,121.9,clear sky,69.35,53,6,15.5,AU
208,Puerto Carreno,6.189,-67.4859,overcast clouds,77.85,78,94,3.0,CO
209,Cariati,39.4922,16.9594,clear sky,51.19,60,1,27.47,IT
210,Inhuma,-6.6683,-41.7078,few clouds,74.3,54,17,5.35,BR
211,Seoul,37.5683,126.9778,clear sky,27.91,33,0,7.78,KR
212,Luebo,-5.35,21.4167,overcast clouds,70.52,99,100,0.51,CD
213,Smirnykh,49.75,142.8333,overcast clouds,8.64,72,100,8.16,RU
214,Alofi,-19.0595,-169.9187,broken clouds,80.49,83,75,13.8,NU
215,Sutatausa,5.2478,-73.8524,overcast clouds,50.83,79,100,4.21,CO
216,Hede,33.7681,120.2517,overcast clouds,36.55,53,99,3.83,CN
217,San Jeronimo,-11.9472,-75.2829,overcast clouds,53.11,78,96,4.09,PE
218,Irtyshskiy,58.3333,68.1333,overcast clouds,13.68,97,99,8.08,RU
219,Thinadhoo,0.5333,72.9333,clear sky,82.0,71,0,5.01,MV
220,Chuy,-33.6971,-53.4616,clear sky,71.13,86,0,11.63,UY
